country_1_iso3,country_2_iso3,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral,confidence,article_count,trade_relevance
CHN,JPN,-0.3517328568587177,0.20348940264237556,0.5552222595010934,0.24128835279690594,0.7261505782924492,15,0.12666666666666665
IND,JPN,0.0943348174914718,0.4675019303868925,0.3731671128954207,0.15933094932032485,0.40541760741885385,11,0.5090909090909091
IND,SGP,-0.417255672481325,0.1841565469072925,0.6014122193886176,0.21443124468334848,0.29744718414402854,9,0.4000000000000001
HKG,IND,-0.0958998526930809,0.045348973482847214,0.1412488261759281,0.8134022169560193,0.8481510000320689,14,0.17857142857142858
IND,USA,-0.7596321785449982,0.10411321222782136,0.8637453907728194,0.03214140748605132,0.26543665827616836,11,0.36363636363636365
CHN,USA,-0.11323231934673263,0.20522559649414487,0.31845791584087746,0.4763165039320787,0.6044090444793772,11,0.32727272727272727
CHN,DEU,0.15553640052676201,0.2374857269227505,0.08194932639598848,0.6805649583538373,0.6789881255228949,9,0.13333333333333333
DEU,IND,-0.021189992077648653,0.3278187641054392,0.3490087561830878,0.32317248584330077,0.5401985890046309,12,0.4166666666666667
GBR,IND,0.052636116519570376,0.4296316193044187,0.3769955027848483,0.1933728745765985,0.6301938532558404,14,0.7142857142857143
CHN,IND,-0.07590579009127049,0.2958226639067843,0.37172845399805476,0.3324489099106618,0.46773211031522877,10,0.42000000000000004
