iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
CHE,2017,695200833086.499,8451840.0,0.0,27.26746660923908,15.949894845425659,32
CHL,2017,276154259981.097,18558868.0,0.0,26.34422545950849,16.736458345965563,33
CHN,2017,12537559062282.9,1396215000.0,0.0,30.15974998005567,21.057030841605584,34
CIV,2017,52512343996.69,26733372.0,0.0,24.684314102672253,17.101423267958054,35
CMR,2017,36098547033.1655,24128601.0,0.0,24.309518453114194,16.99890849974382,36
COD,2017,37537521565.5308,87083398.0,0.0,24.348606844788648,18.282376826641887,37
COG,2017,11834473039.3645,5351011.0,0.0,23.194282553392085,15.49279625986241,38
COL,2017,311866875156.879,48131078.0,0.0,26.46584225151486,17.689438659478032,39
COM,2017,1077439756.59451,756669.0,0.0,20.797853468954138,13.536682506066116,40
CPV,2017,1996741539.95088,512893.0,0.0,21.414782459344075,13.147824475122155,41
CRI,2017,60516044656.5206,4913177.0,0.0,24.826174367774403,15.407431540903598,42
CUB,2017,96850649700.0,11247829.0,0.0,25.296435935099062,16.23568577912036,43
CUW,2017,3033433248.15988,160175.0,0.0,21.832960900542098,11.984028489659265,44
CYM,2017,5166281293.18715,64535.0,0.0,22.36541898119982,11.07497848661681,45
CYP,2017,22946570628.7576,1254275.0,0.0,23.856434334390233,14.042069071651278,46
CZE,2017,221563575696.217,10594438.0,0.0,26.12397540871198,16.175839798778178,47
DEU,2017,3765351626105.89,82657002.0,0.0,28.956862366207798,18.230210109434356,48
DJI,2017,2762581334.22612,1054841.0,0.0,21.739431345972648,13.868901550643526,49
DMA,2017,563355555.555555,68496.0,0.0,20.149421525942074,11.134545227670822,50
DNK,2017,331610593961.988,5764980.0,0.0,26.527227207715885,15.56731241592965,51
DOM,2017,79070274743.1658,10666843.0,0.0,25.093602847718618,16.1826507969577,52
DZA,2017,189880896903.073,41689299.0,0.0,25.96966285414941,17.54575505911875,53
ECU,2017,104467486000.0,16759519.0,0.0,25.372141721191163,16.63447701298995,54
EGY,2017,248362771739.13,103696057.0,0.0,26.23815630355207,18.45697465897674,55
ESP,2017,1321754088818.83,46571232.0,0.0,27.90998082554675,17.65649359088035,56
EST,2017,27469461919.1189,1317384.0,0.0,24.03634074895199,14.09115926906045,57
ETH,2017,76366081766.6667,109666481.0,0.0,25.058804478620686,18.512954336169543,58
FIN,2017,253846138440.0,5508214.0,0.0,26.259994166252476,15.521751172201043,59
FJI,2017,5353469174.47838,918759.0,0.0,22.40101063172,13.73078021380369,60
FRA,2017,2588868323334.71,66918020.0,0.0,28.582241955356526,18.01897886102159,61
FRO,2017,2980057377.87967,50180.0,0.0,21.815208391935965,10.823391747980118,62
FSM,2017,359000000.0,109481.0,0.0,19.698832949238067,11.60351543116459,63
GAB,2017,14929487485.1623,2156900.0,0.0,23.426604120122786,14.584183027238714,64
GBR,2017,2699118387873.1,65966000.0,0.0,28.623946312608993,18.00465003089874,65
GEO,2017,16473125375.0684,3728004.0,0.0,23.524996124886265,15.131383795988436,66
GHA,2017,60385409434.8567,30008354.0,0.0,24.824013347073993,17.2169864008525,67
GIN,2017,10324668271.1362,12385659.0,0.0,23.05780184667071,16.332049909756208,68
GMB,2017,1504909462.69521,2342189.0,0.0,21.131998576324595,14.666596947090836,69
GNB,2017,1469978606.12143,1877072.0,0.0,21.108513684652543,14.445224206661072,70
GNQ,2017,12200913878.9827,1562396.0,0.0,23.224776694075448,14.261731738419876,71
GRC,2017,200381103984.298,10754679.0,0.0,26.02348691022087,16.190851566638344,72
GRD,2017,1125685185.18519,115438.0,0.0,20.84165774159128,11.65649753090157,73
GRL,2017,2851613679.03433,56172.0,0.0,21.771150874515055,10.93619149339347,74
GTM,2017,71653780740.4226,16567357.0,0.0,24.9951117566313,16.622944931910354,75
GUM,2017,6013000000.0,163490.0,0.0,22.51718962917015,12.004513221932806,76
GUY,2017,4748174334.14044,768479.0,0.0,22.281026030614626,13.552169816898651,77
